DISTANCE,DETECT,RSSI_DEC,FREQUENCY,ID,CYCLE,N,READ_RATE
140,0,0,0,e20051397201021018904d85,5,9,0.000
150,0,0,0,e20051397201021018904d85,5,9,0.000
160,0,0,0,e20051397201021018904d85,5,9,0.000
170,0,0,0,e20051397201021018904d85,5,9,0.000
180,0,0,0,e20051397201021018904d85,5,9,0.000
190,0,0,0,e20051397201021018904d85,5,9,0.000
200,0,0,0,e20051397201021018904d85,5,9,0.000
10,1,237,5519885,e20051397201021018904d85,1,10,1.000
20,1,221,10761485,e20051397201021018904d85,1,10,1.000
30,1,211,16529165,e20051397201021018904d85,1,10,1.000
40,1,198,11287565,e20051397201021018904d85,1,10,1.000
50,1,123,5519885,e20051397201021018904d85,1,10,1.000
60,1,122,10761485,e20051397201021018904d85,1,10,1.000
70,1,72,16529165,e20051397201021018904d85,1,10,1.000
80,1,132,11287565,e20051397201021018904d85,1,10,1.000
90,1,128,5519885,e20051397201021018904d85,1,10,1.000
100,1,117,10761485,e20051397201021018904d85,1,10,1.000
110,1,112,16529165,e20051397201021018904d85,2,10,0.500
120,1,99,11287565,e20051397201021018904d85,2,10,0.500
130,0,0,0,e20051397201021018904d85,5,10,0.000
140,1,6,10761485,e20051397201021018904d85,4,10,0.250
150,0,0,0,e20051397201021018904d85,5,10,0.000
160,1,98,11287565,e20051397201021018904d85,5,10,0.200
170,0,0,0,e20051397201021018904d85,5,10,0.000
180,0,0,0,e20051397201021018904d85,5,10,0.000
190,0,0,0,e20051397201021018904d85,5,10,0.000
200,0,0,0,e20051397201021018904d85,5,10,0.000
10,1,252,5519885,e20051397201015918904e51,1,1,1.000
20,1,234,10761485,e20051397201015918904e51,1,1,1.000
30,1,201,16529165,e20051397201015918904e51,1,1,1.000
40,1,169,11287565,e20051397201015918904e51,1,1,1.000
50,1,10,5519885,e20051397201015918904e51,1,1,1.000
60,1,90,10761485,e20051397201015918904e51,1,1,1.000
70,1,89,16529165,e20051397201015918904e51,1,1,1.000
80,1,133,11287565,e20051397201015918904e51,1,1,1.000
90,1,114,5519885,e20051397201015918904e51,1,1,1.000
100,1,101,10761485,e20051397201015918904e51,1,1,1.000
110,0,0,0,e20051397201015918904e51,5,1,0.000
120,1,6,11287565,e20051397201015918904e51,1,1,1.000
130,0,0,0,e20051397201015918904e51,5,1,0.000
140,0,0,0,e20051397201015918904e51,5,1,0.000
150,0,0,0,e20051397201015918904e51,5,1,0.000
160,0,0,0,e20051397201015918904e51,5,1,0.000
170,0,0,0,e20051397201015918904e51,5,1,0.000
180,0,0,0,e20051397201015918904e51,5,1,0.000
190,0,0,0,e20051397201015918904e51,5,1,0.000
200,0,0,0,e20051397201015918904e51,5,1,0.000
10,1,237,5519885,e20051397201015918904e51,1,2,1.000
20,1,236,10761485,e20051397201015918904e51,1,2,1.000
30,1,214,16529165,e20051397201015918904e51,1,2,1.000
40,1,91,11287565,e20051397201015918904e51,1,2,1.000
50,1,42,5519885,e20051397201015918904e51,1,2,1.000
60,1,121,10761485,e20051397201015918904e51,1,2,1.000
70,0,0,0,e20051397201015918904e51,5,2,0.000
80,1,116,11287565,e20051397201015918904e51,1,2,1.000
90,1,112,5519885,e20051397201015918904e51,1,2,1.000
100,1,102,10761485,e20051397201015918904e51,1,2,1.000
110,1,83,16529165,e20051397201015918904e51,2,2,0.500
120,1,37,11287565,e20051397201015918904e51,1,2,1.000
130,0,0,0,e20051397201015918904e51,5,2,0.000
140,0,0,0,e20051397201015918904e51,5,2,0.000
150,0,0,0,e20051397201015918904e51,5,2,0.000
160,0,0,0,e20051397201015918904e51,5,2,0.000
170,0,0,0,e20051397201015918904e51,5,2,0.000
180,0,0,0,e20051397201015918904e51,5,2,0.000
190,0,0,0,e20051397201015918904e51,5,2,0.000
200,0,0,0,e20051397201015918904e51,5,2,0.000
10,1,251,10761485,e20051397201015918904e51,1,3,1.000
20,1,234,16529165,e20051397201015918904e51,1,3,1.000
30,1,192,11287565,e20051397201015918904e51,1,3,1.000
40,1,170,5519885,e20051397201015918904e51,1,3,1.000
50,1,10,10761485,e20051397201015918904e51,1,3,1.000
60,1,89,16529165,e20051397201015918904e51,1,3,1.000
70,1,135,11287565,e20051397201015918904e51,1,3,1.000
80,1,133,5519885,e20051397201015918904e51,1,3,1.000
90,1,118,10761485,e20051397201015918904e51,1,3,1.000
